name,creator,key,tab
"Hold Me, Thrill Me, Kiss Me",Karen Chandler,C,7 7 7 7 8 -8 8 -8 7 -7 -6 -7 6 6 6 6 -6 6 -6 6 -5 5 -4 5 4 4 5 -4 5 -4 5 -4 4 -4 5 7 7 7 7 8 -8 8 -8 7 -7 -6 -7 6 6 6 6 -6 6 -6 6 -5 5 -4 5 4 4 4 4 5 -4 5 -4 5 -4 4 -4 4 4 -4 -4 -4 -4 5 -4 4 -4 5 5 -4 5 -5 -5 -5 -5 6 -5 5 -5 6 5 -5 -5 -5 -5 6 -5 5 -5 6 6 6 6 -7 -7 -6 -6 -7 -7 -6 -6 -7 -7 -6 -7 -6 -7 7 7 7 7 7 8 -8 7 -8 7 -7 -7 -6 -7 6 6 6 6 -6 6 -6 6 -5 5 -4 5 4 4 4 4 -4 5 -5 6 -6 -7 7 -8 7
Toune Autonme,Cowboys Fringants,C,6 -5 5 5 -5 -5 6 -6 6 -5 5 6 -5 5 4 4 4 -4 -4 5 -4 3 6 -5 5 5 -5 -5 6 -6 6 -5 5 6 -5 5 4
Le Pouceux,Cowboys Fringants,C,4 6 6 -7 7 7 -7 -6 -6 7 -7 -6 6 2 6 6 5 5 -6 -6 -5 -5 1 6 6 -7 7 7 -7 -6 -6 7 -7 -6 6 -6 7 8 -8 7 -7 7 -8 7 -7 7 7 -7 -6 7 -8 -9 9 9 -9 8 7 -7 -6 6 -6
Hush Little Baby,Public Domain,C,3 5 5 5 -5 5 -4 -4 -4 3 3 -4 -4 -4 -4 5 -4 4 4 3 5 5 -5 5 -4 -4 3 3 -4 -4 -4 -4 5 -4 4 4
"Bad, Bad, Leroy Brown",Jim Croce,C,6 8 -8 -8 7 7 -6 -6 6 8 8 -8 -8 7 6 -6 6 8 8 8 -8 -8 -8 -8 7 -6 -6 6 8 8 -8 -8 7 6 8 -8 -8 7 7 -6 6 -6 6 8 8 -8 -8 7 -6 6 8 8 8 8 -8 -8 -8 -8 -8 7 -6 6 8 8 -8 -8 7 6 -6 7 7 8 -8 7 -8 -8 -8 -8 -8 -8 8 8 -8 7 8 8 8 8 8 -8 7 -6 8 8 8 8 -8 -8 7 -6 8 -8 -8 7 7 -6 6 -6 8 8 -8 -8 7 -6 6 8 8 8 8 -8 -8 7 6 -6 6 8 8 -8 -8 7 6 -6 6 8 -8 -8 7 7 -6 6 -6 6 8 8 8 8 -8 6 -6 6 8 8 8 8 -8 7 -8 -8 -8 -8 6 -6 6 8 8 -8 -8 7 2 6 8 -8 -8 7 7 7 -6 8 -8 -8 7 -6 6 -6 6 8 8 8 8 -8 7 -8 -8 -8 7 -6 8 8 -8 -8 7 -6 6 8 8 -8 -8 -8 7 -6 6 -8 -8 -8 7 -6 -6 8 8 8 8 -8 -8 -8 -8 -8 7 -6 6 8 8 8 -8 -8 7 3 -6 6 8 8 -8 -8 -8 7 -6 -6 6 8 8 -8 -8 7 8 8 8 -8 -8 -8 -8 -8 7 -6 6 8 8 8 -8 -8 7
Bohemian Rhapsody,Queen,C,-6 -6 -6 -6 -6 6 6 -6 6 -5 5 -5 -5 -5 6 -5 3 3 5 5 -5 5 -4 4 5 5 -5 5 5 5 5 -5 6 4 -6 -6 -6 -6 -6 -6 6 6 -6 6 -5 5 6 6 6 -6 -6 6 -5 -5 6 6 -6 -6 6 -5 -5 6 5 5 5 5 -4 6 4 4 4 4 -4 -4 -4 -4 -3 4 5 5 4 -4 5 5 5 5 -5 6 -5 5 -4 -4 5 -5 6 -5 5 -4 5 5 5 6 -7 -6 -6 -6 7 7 7 5 -5 5 5 -4 -4 -6 -6 6 6 -6 6 6 -5 -5 -5 5 5 5 5 6 6 6 -6 -6 6 -4 5 4 4 -4 -3 4 4 -4 4 -4 4 4 -3 5 5 4 -4 5 5 5 -5 6 -5 5 -4 -4 5 -5 6 -5 5 -4 5 5 -4 4 -4 5 6 -7 -6 -6 -6 -6 7 7 7 7 7 5 -5 5 -4 -6 -6 6 6 -6 6 5 5 5 5 -4 6 -6 6 6 -5 -5 -5 5 5 5 5 6 6 6 -5 6 -5 5 -6 6 6 -5 -5 6 6 -6 -6 6 6 -5 6 6 8 6 6 8 6 6 -6 6 6 -6 6 -6 -6 -6 -6 6 6 -5 -5 -5 -5 6 6 -6 6 6 -6 6 6 6 -6 6 6 6 -6 6 6 6 -6 6 6 6 -6 6 -5 5 -4 7 7 7 7 6 -6 6 6 -5 6 6 -6 6 6 -5 6 -6 6 6 -5 6 -6 -6 6 -5 -5 6 -6 -6 -6 6 5 5 -5 -5 -5 6 -6 -6 6 -5 -5 6 -6 -6 6 6 -5 6 7 6 7 6 6 6 6 6 6 7 7 7 6 7 6 6 6 6 6 6 6 7 7 7 6 7 6 6 6 6 6 6 6 7 7 7 6 6 6 6 6 7 7 7 6 6 6 6 6 7 7 7 6 6 -6 6 6 6 -6 6 6 6 -6 6 -5 5 -4 3 4 4 4 4 4 -4 -4 -4 -4 -4 -4 3 3 -4 4 -5 -5 6 7 7 7 -7 -6 -6 6 -5 -5 -5 5 -4 5 6 7 7 7 -7 -6 -6 6 -5 -5 5 5 -4 5 6 7 -7 -6 7 7 7 7 7 -7 -6 6 6 6 6 -6 6 6 6 6 -6 6 -5 5 -6 -6 -6 -6 6 7 -5 -5 -5 -5 5 -6 -6 -6 -6 6 7 -5 -5 -5 -5 5 -6 -3 4 5 5 5 5 -4 6
Pretty Woman,Roy Orbison,C,8 8 -8 7 8 8 -8 7 8 8 8 -8 7 8 8 8 -8 7 8 8 8 -8 7 -1 0 -1 0 -1 0 -1 0 9 -9 8 -8 9 -1 0 -1 0 -1 0 -1 0 9 -9 -8 9 8 8 -8 7 8 8 -8 7 8 8 8 -8 7 8 8 -8 7 8 8 8 -8 7 -1 0 -1 0 -1 0 9 -9 8 9 -1 0 -1 0 -1 0 9 -9 -8 9 -9 -9 -9 8 8 -8 -8 8 8 8 -8 -8 7 7 -8 -8 -8 7 7 -7 -6 -7 7 -9 -9 -9 8 8 -8 -8 8 8 8 -8 -8 7 7 -8 -8 -8 7 7 -7 -6 -7 7 -8 7 -7 -8 7 -8 7 -7 8 -8 7 -7 7 7 -8 7 -7 -8 9 8 8 -8 7 8 -8 7 8 8 8 -8 7 8 -8 7 8 8 8 -8 7 -1 0 -1 0 9 9 -9 8 9 -1 0 -1 0 9 -1 0 9 9 -9 -8 9 8 -9 8 -9 8 -9 8 9 -1 0 -1 0 9 -1 0 9 -9 8 9 -9 8 -9 9 -1 0 9 -1 0 9 -9 -8 9 -1 0 9 -1 0 9 -9 8 9 -9 8 8 8 -8 7
Puff The Magic Dragon,Peter Paul And Mary,C,7 7 7 7 -7 6 -6 7 7 6 6 -5 -5 6 -5 5 6 7 7 7 7 -6 -7 7 -8 7 7 7 7 -7 6 -6 -6 7 7 6 6 -5 -5 6 -5 5 6 7 7 -6 7 -7 -8 7 -7 7 7 7 7 -7 6 -6 7 7 6 6 -5 -5 6 -5 5 6 7 7 7 7 -6 -7 7 -8 7 7 7 7 -7 6 -6 7 7 6 6 -5 -5 6 -5 5 6 7 7 7 -6 7 -7 -8 7
Raindrops Keep Falling On My Head,Bj Thomas,C,5 5 5 -5 -5 -4 4 5 5 6 6 6 -6 6 -5 5 5 -5 -4 4 -7 -6 6 5 4 -7 -6 6 6 5 -4 5 -4 4 5 5 4 -4 5 4 4 -4 5 5 5 -5 5 -4 4 5 5 6 6 6 -6 6 -5 5 5 -5 -4 4 -7 -6 6 5 4 -7 5 6 6 5 -5 6 -6 5 6 6 5 -5 6 4 4 -4 5 6 -4 5 -5 5 -4 4 5 -4 5 -5 -6 6 5 -7 -6 6 5 -7 -6 6 5 -4 4 5 -4 4 4 -4 5 4 4 -6 6 4 5 5 5 5 -5 5 -4 4 5 5 6 6 6 -6 6 -5 5 5 -5 -4 4 -7 -6 6 5 4 -7 -6 6 6 5 -5 6 -5 5 6 6 4 4 -4 5 4 4 -6 6 4 5
Somewhere Over The Rainbow,Judy Garland,C,4 7 -7 6 -6 -7 7 1 2 4 -6 6 1 2 4 -6 6 1 2 5 -5 6 -6 1 2 -4 -3 4 -4 5 4 1 2 6 5 6 5 6 5 6 5 6 -5 6 -5 6 -5 6 -5 6 -6 -7 6 5 6 5 6 5 6 5 6 -5 6 -5 6 -5 6 -5 6 -5 6 -6 -7 4 7 -7 6 -6 -7 7 4 -6 6 5 -6 5 4 -4 5 -5 -4 -3 4 5 4 6 5 6 5 6 5 6 5 6 -5 6 -5 6 -5 6 -6 -7 7
Nobody Knows The Trouble Ive Seen,Louis Armstrong,C,8 6 -6 7 -8 8 8 8 8 8 6 -6 7 7 -6 6 8 6 -6 7 -8 8 8 8 8 9 8 -8 8 7 7 8 9 9 9 8 9 9 8 9 8 -8 8 9 9 9 8 9 9 8 8 -8 7
Stairway To Heaven,Led Zeppelin,C,-6 -7 7 -7 -6 -7 -6 -7 7 -8 7 -7 -6 7 -8 8 -8 7 -7 -6 6 6 -6 -6 -7 7 -7 -6 -7 -7 -7 7 -8 7 -7 -6 7 -8 8 -8 7 -7 -6 6 6 -6 -6 7 8 -8 -8 7 -7 7 -6 -6 -7 7 -8 8 -8 -8 7 -7 6 6 -6 -6 -7 7 -7 -6 -7 -6 -6 -7 7 -8 7 -7 -6 7 -8 8 -8 7 -7 -6 6 6 -6 -6 7 7 -8 7 7 -7 -6 -7 7 -8 7 -7 -6 7 -8 8 -8 7 -7 -6 6 6 -6 -6 7 7 -7 7 -7 -6 7 7 -7 7 -7 -6 6 -6 6 -6 -6 -7 7 -7 -6 -7 -6 -7 7 -8 7 -7 -6 7 -8 8 -8 7 -7 -6 6 6 -6 -6 -7 7 -8 7 -7 -6 -6 -7 7 -8 7 -7 -6 7 -8 8 -8 7 -7 -6 6 6 -6 7 7 -7 7 -7 -6 7 7 -7 7 -7 7 -7 -6 -6 -7 7 -8 7 -7 -6 -6 -7 7 -8 7 -7 -6 7 -8 8 -8 7 -7 -6 6 6 -6 -6 -7 7 -8 7 -7 -6 -7 7 -8 7 -7 -6 7 -8 8 -8 7 8 -8 7 6 -6 7 -8 7 -8 7 -8 7 -8 7 -8 -7 -6 8 -8 7 -8 7 -6 6 -6 7 -6 -6 6 -6 5 7 7 8 -8 7 -6 6 7 -6 8 -8 7 -8 7 -6 6 -6 7 -6 -6 6 -6 5 -6 7 8 -8 -7 7 6 7 -6 -6 -8 -8 -8 -8 7 7 8 -8 7 8 -8 7 -8 7 -6 6 -6 7 -6 -6 6 -6 5 7 7 8 -8 7 -6 6 7 -6 8 -8 7 -8 7 -6 6 -6 7 -6 6 -6 5 7 7 8 -8 7 -6 7 -6 -6 7 7 7 8 -8 7 -7 7 7 7 7 8 -8 7 -8 -8 7 7 7 7 9 -9 8 -8 -8 8 -8 7 7 7 7 9 -9 8 -8 -8 7 7 7 7 8 -8 7 -8 -8 7 7 7 7 8 -8 7 -8 -8 7 7 7 7 8 -8 7 -7 7 7 7 7 1 0 -9 8 -9 9 -9 -8 7 7 7 8 -8 8 8 8 -8 7 7 -8 8 -8 7 -7 7 -7 -6 6 6 7 -6
Do Wah Diddy Diddy,Manfred Mann,C,6 6 6 6 6 -6 -6 -6 -5 6 5 -5 6 6 6 6 6 6 -6 -6 -5 6 6 6 6 6 6 6 -6 -6 -5 6 5 -5 6 6 6 6 6 6 -6 -6 -5 6 6 7 6 6 7 6 6 7 6 6 7 6 7 7 6 6 7 7 6 5 6 6 6 6 6 6 -6 -6 -6 -5 6 5 -5 6 6 6 6 6 6 -6 -6 -5 6 6 6 6 6 6 6 -6 -6 -6 -5 6 5 -5 6 6 6 6 6 6 -6 -6 -5 6 6 7 6 6 7 6 6 7 6 6 7 6 7 7 6 6 7 7 6 7 7 7 7 7 7 7 -7 -6 5 -6 6 -5 6 6 6 6 6 6 6 6 6 6 -6 -6 -6 6 5 6 6 6 6 6 6 -6 -6 -6 -5 6 5 -5 6 6 6 6 6 6 -6 -6 -5 6 6 6 6 6 6 6 -6 -6 -6 -5 6 5 -5 6 6 6 6 6 6 -6 -6 -5 6 6 7 6 7 6 7 6 7 6 7 7 6 6 7 7 6 5 -5 6 6 6 6 6 6 -6 -6 -5 6 6 6 6 6 6 6 -6 -6 -5 6 6 6 6 6 6 6 -6 -6 -5 6
La Bamba,Ritchie Valens,C,-9 -9 -9 -9 -9 8 7 -9 -9 -9 -9 -9 8 7 7 7 7 -8 -7 -8 -9 8 -8 8 7 -8 -9 8 -8 8 7 -9 -9 -9 -9 -9 8 7 7 7 7 -8 -7 -8 -9 8 -8 8 7 -9 -9 -9 -9 8 7 7 7 7 -8 -7 -8 -7 -9 8 8 -9 -9 -9 -9 -9 8 7 -9 -9 -9 -9 -9 8 7 7 7 7 -8 -7 -7 -8 -9 8 8 7 7 -6 -6 6 7 -6 -7 6 8 7 -8 -8 8 7 -8 -8
Leavin On A Jet Plane,Chantal Kreviazuk,C,7 -8 -9 8 7 6 -6 -6 7 -8 7 -9 8 7 6 -6 7 -8 7 -9 8 -8 7 -9 8 -8 7 -8 7 -8 -9 8 7 6 6 -6 7 -8 7 -9 8 7 6 6 -6 -6 7 -8 7 -9 8 -8 7 -9 8 -8 7 -8 9 9 8 8 -9 8 7 9 -9 8 9 -9 8 7 9 -9 8 9 -9 8 -8 7 -8 9 9 9 7 -1 0 9 -9 9 9 8 9 -9 9 -9 8 -8 9 -9 8 -8 7 -8
Ode To Joy (2Nd Ver),Beethoven,C,5 5 -5 6 6 -5 5 -4 4 4 -4 5 5 -4 -4 5 5 -5 6 6 -5 5 -4 4 4 -4 5 -4 4 4 -4 -4 5 4 -4 5 -5 5 4 -4 5 -5 5 -4 4 -4 3 5 5 -5 6 6 -5 5 -4 4 4 -4 5 -4 4 4 -4 -4 5 4 -4 5 -5 5 4 -4 5 -5 5 -4 4 -4 3 5 5 -5 6 6 -5 5 -4 4 4 -4 5 -4 4 4
Zip A Dee Doo Dah,Ray Culbers,C,5 5 -5 6 7 -6 -5 -6 6 7 7 -6 6 5 4 5 4 5 -4 5 5 -5 6 7 -6 -5 -6 6 -6 -7 7 8 7 -8 -6 -7 7 7 -6 -7 -6 -5 -4 -6 6 -7 7 -8 8 7 -8 -7 7 -7 -6 6 -5 5 -4 5 5 -5 6 7 -6 -5 -6 6 -6 -7 7 8 7 -8 -6 -7 7
Yellow Submarine,Beatles,C,5 -5 6 5 -4 5 4 5 5 -4 4 -3 -3 5 5 -4 5 -5 6 5 -4 5 4 5 5 -4 4 -3 -3 5 5 -4 6 6 6 6 -6 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 4 4 4 4 4 2 5 -5 6 5 -4 5 4 5 5 -4 4 -3 5 5 -4 5 -5 6 5 -4 5 4 3 5 -5 6 5 -4 5 4 5 5 -4 4 -3 -3 5 5 -4 5 -5 6 5 -4 5 4 5 5 -4 4 -3 5 5 -4
Yankee Doodle,Barry Taylor,C,7 7 -8 8 7 8 -8 6 7 7 -8 8 7 8 -8 6 -6 -8 -6 -8 -7 9 -8 9 7 7 -8 8 7 8 -8 6 7 7 -8 8 7 8 -8 6 7 7 -8 8 -9 8 -8 7 -7 -8 6 -8 7 7 6 7 7 7 -8 8 -9 9 9 9 8 -1 0 9 8 -9 8 -8 7 -8 7 -6 7 7 -7 9 -7 9 -9 -8 7 9 8 9 9 8 7 8 9 1 0 -8 7 -7 9 -9 9 -1 0 9 -7 8 -8 7 8 -8 -8 7 -7 7 -8 -6 -8 -8 8 -8 -7 -6 6 7 8 8 8 8 -9 9 9 -9 8 -8 8 -8 7 -6 -7 7 -8 4 8 8 -8 -8 7 -7 7 -8 -6 -8 8 -8 -7 -6 6 7 7 7 -8 8 7 8 -8 6 7 7 -8 8 7 6 -6 -8 -6 -7 7 -8 8 7
Mr. Tambourine Man,Bob Dylan,C,7 7 -7 -6 6 6 5 5 -6 6 5 4 4 -4 5 6 6 6 -6 6 -5 5 5 -4 -4 7 7 -7 -6 6 6 5 5 -6 6 5 4 4 -4 5 6 6 5 -5 5 -4 4 -4 5 -4 4 7 7 7 -7 -6 6 6 5 5 -6 6 5 4 4 -4 5 -6 6 5 4 4 -4 5 -6 6 5 4 4 -4 5 -6 6 5 4 7 7 -7 -6 6 6 -5 5 5 5 -4 7 7 7 7 -7 -6 6 6 5 5 -6 6 5 4 -4 5 -6 6 5 4 4 -4 5 -6 6 5 4 7 7 -7 -6 6 -5 5 -4 7 7 -7 -6 6 6 5 5 -6 6 5 4 4 -4 5 6 6 6 -6 6 -5 5 5 -4 -4 7 7 -7 -6 6 6 5 5 -6 6 5 4 4 -4 5 6 6 5 -5 5 -4 4 -4 5 -4 4
Eight Days A Week,Beatles,C,8 -8 7 -8 -8 -6 -6 7 -9 -9 8 8 -8 7 -8 -8 -6 -6 7 -9 -9 8 8 7 -8 -6 8 7 -8 -6 8 -8 7 7 -8 -8 -6 -9 -9 -9 8 -8 -8 8 -8 7 -8 7 -8 7 -8 7 -6 -8 -8 8 -8 7 -8 7 -8 7 -8 -8 -9
Happy Trails,Unknown,C,6 6 9 9 8 6 -6 6 -6 6 -7 6 6 9 9 -8 6 -8 6 -8 6 8 9 9 8 8 -8 -8 7 -6 7 9 -9 8 8 -8 -8 -7 -7 -6 -6 -6 8 -8 6 6 9 9 8 -9 9 -1 0 -7 7
Free Fallin,Tom Petty,C,4 -4 5 4 4 4 -4 5 5 5 4 4 4 4 4 4 -4 4 -4 5 4 4 4 4 -4 5 5 5 4 4 4 4 4 -4 4 -4 5 4 4 4 4 4 -4 5 5 5 5 4 4 4 4 4 -4 4 4 -4 5 4 4 4 4 4 4 -4 5 5 5 5 4 4 4 4 4 -4 4 4 5 5 5 -4 4 4 -4 5 4 4 4 4 4 -4 5 5 5 4 4 4 4 4 4 -4 4 4 -4 5 4 4 4 4 4 4 -4 5 5 5 5 4 4 4 4 4 4 -4 4 4 5 5 5 -4 4 4 4 -4 5 4 4 4 4 -4 5 5 5 5 5 4 4 4 4 -4 4 4 -4 5 4 4 4 4 -4 5 5 5 5 4 4 4 4 -4 4 4 5 5 5 -4 4
Free Bird,Lynyrd Skynyrd,C,8 9 8 -8 7 -8 7 -8 -8 7 7 7 -6 6 8 8 8 9 8 -8 -8 7 -8 -8 -8 8 -8 7 7 7 -6 6 8 8 9 8 -8 7 -8 7 -8 -8 -8 7 7 -6 6 8 8 9 8 -8 7 -8 7 -9 -9 -9 -9 -9 -9 9 -9 -9 -9 -9 -9 -9 9 -9 -9 -9 -9 -9 -9 9 -9 9 -9 -9 -9 -9 9 -9 9 8 8 8 8 -8 -8 7 -8 -8 7 7 7 -6 6 8 9 8 -8 7 -8 7 -8 7 7 -6 6 8 8 9 8 -8 7 -8 7 -8 -8 7 7 7 -6 6 8 8 9 8 -8 7 -8 7 -9 -9 -9 -9 -9 -9 9 -9 -9 -9 -9 -9 -9 9 -9 -9 -9 -9 -9 -9 9 -9 9 -9 -9 -9 -9 9 -9 9
How Great Thou Art,Carl Boberg,C,6 6 6 5 6 6 6 -6 -6 -5 -6 -6 -6 -6 6 5 6 6 -5 -5 5 6 6 6 5 6 6 6 -6 -6 -5 -6 -6 -6 -6 6 5 6 6 -5 -5 5 6 6 7 8 -8 7 -7 7 -6 6 7 7 -7 -4 -5 -6 6 5 6 6 7 8 -8 7 -7 7 -6 6 7 -7 7 -8 8 -9 -7 7
